i94port,i94port_name,i94port_state,i94port_relevant
SNA,SAN ANTONIO,TX,RELEVANT
SNN,SANDERSON,TX,RELEVANT
VIB,VETERAN INTL BRIDGE,TX,RELEVANT
YSL,YSLETA,TX,RELEVANT
CHA,CHARLOTTE AMALIE,VI,RELEVANT
CHR,CHRISTIANSTED,VI,RELEVANT
CRU,CRUZ BAY  ST JOHN,VI,RELEVANT
FRK,FREDERIKSTED,VI,RELEVANT
STT,ST THOMAS,VI,RELEVANT
LGU,CACHE AIRPORT - LOGAN,UT,RELEVANT
SLC,SALT LAKE CITY,UT,RELEVANT
CHO,ALBEMARLE CHARLOTTESVILLE,VA,RELEVANT
DAA,DAVISON AAF - FAIRFAX CNTY,VA,RELEVANT
HOP,HOPEWELL,VA,RELEVANT
HEF,MANASSAS,VA,RELEVANT
NWN,NEWPORT,VA,RELEVANT
NOR,NORFOLK,VA,RELEVANT
RCM,RICHMOND,VA,RELEVANT
ABS,ALBURG SPRINGS,VT,RELEVANT
ABG,ALBURG,VT,RELEVANT
BEB,BEEBE PLAIN,VT,RELEVANT
BEE,BEECHER FALLS,VT,RELEVANT
BRG,BURLINGTON,VT,RELEVANT
CNA,CANAAN,VT,RELEVANT
DER,DERBY LINE,VT,RELEVANT
DLV,DERBY LINE,VT,RELEVANT
ERC,EAST RICHFORD,VT,RELEVANT
HIG,HIGHGATE SPRINGS,VT,RELEVANT
MOR,MORSES LINE,VT,RELEVANT
NPV,NEWPORT,VT,RELEVANT
NRT,NORTH TROY,VT,RELEVANT
NRN,NORTON,VT,RELEVANT
PIV,PINNACLE ROAD,VT,RELEVANT
RIF,RICHFORT,VT,RELEVANT
STA,ST ALBANS,VT,RELEVANT
SWB,SWANTON,VT,RELEVANT
WBE,WEST BERKSHIRE,VT,RELEVANT
ABE,ABERDEEN,WA,RELEVANT
ANA,ANACORTES,WA,RELEVANT
BEL,BELLINGHAM,WA,RELEVANT
BLI,BELLINGHAM  WASHINGTON #INTL,WA,RELEVANT
BLA,BLAINE,WA,RELEVANT
BWA,BOUNDARY,WA,RELEVANT
CUR,CURLEW,WA,RELEVANT
DVL,DANVILLE,WA,RELEVANT
EVE,EVERETT,WA,RELEVANT
FER,FERRY,WA,RELEVANT
FRI,FRIDAY HARBOR,WA,RELEVANT
FWA,FRONTIER,WA,RELEVANT
KLM,KALAMA,WA,RELEVANT
LAU,LAURIER,WA,RELEVANT
LON,LONGVIEW,WA,RELEVANT
MET,METALINE FALLS,WA,RELEVANT
MWH,MOSES LAKE GRANT COUNTY ARPT,WA,RELEVANT
NEA,NEAH BAY,WA,RELEVANT
NIG,NIGHTHAWK,WA,RELEVANT
OLY,OLYMPIA,WA,RELEVANT
ORO,OROVILLE,WA,RELEVANT
PWB,PASCO,WA,RELEVANT
PIR,POINT ROBERTS,WA,RELEVANT
PNG,PORT ANGELES,WA,RELEVANT
PTO,PORT TOWNSEND,WA,RELEVANT
SEA,SEATTLE,WA,RELEVANT
SPO,SPOKANE,WA,RELEVANT
SUM,SUMAS,WA,RELEVANT
TAC,TACOMA,WA,RELEVANT
PSC,TRI-CITIES - PASCO,WA,RELEVANT
VAN,VANCOUVER,WA,RELEVANT
AGM,ALGOMA,WI,RELEVANT
BAY,BAYFIELD,WI,RELEVANT
GRB,GREEN BAY,WI,RELEVANT
MNW,MANITOWOC,WI,RELEVANT
MIL,MILWAUKEE,WI,RELEVANT
MSN,TRUAX FIELD - DANE COUNTY,WI,RELEVANT
CHS,CHARLESTON,WV,RELEVANT
CLK,CLARKSBURG,WV,RELEVANT
BLF,MERCER COUNTY,WV,RELEVANT
CSP,CASPER,WY,RELEVANT
CNC,CANNON CORNERS,NY,RELEVANT
AG0,MAGNOLIA,AR,RELEVANT
BHM,BAR HARBOR,ME,RELEVANT
BHX,BIRMINGHAM,AL,RELEVANT
CAK,AKRON,OH,RELEVANT
FOK,SUFFOLK COUNTY,NY,RELEVANT
LND,LANDER,WY,RELEVANT
MAR,MARFA,TX,RELEVANT
MLI,MOLINE,IL,RELEVANT
RIV,RIVERSIDE,CA,RELEVANT
RME,ROME,NY,RELEVANT
VNY,VAN NUYS,CA,RELEVANT
YUM,YUMA,AZ,RELEVANT
